#{"t_start": 1671816458.6999972, "env_id": null}
r,l,t
164034.923469,3999,121.306673
150231.722097,3999,236.113673
160566.122601,3999,352.283673
148395.386594,3999,469.346673
162773.785878,3999,583.467673
151466.925249,3999,699.629673
154900.768308,3999,818.376673
154693.289023,3999,933.294673
165926.547275,3999,1048.306182
154023.909769,3999,1165.039183
165080.235852,3999,1282.344183
155641.198502,3999,1398.274182
160242.806238,3999,1515.054183
164388.737707,3999,1630.836182
179093.172992,3999,1744.909183
195137.584626,3999,1860.692182
214258.066041,3999,1977.729207
257599.606916,3999,2092.915206
300608.276343,3999,2212.818206
359556.553146,3999,2327.860207
445631.699727,3999,2442.938206
567124.115031,3999,2557.045208
693304.520225,3999,2674.409207
889473.105851,3999,2793.613206
1005577.268723,3999,2911.124209
1075266.563256,3999,3031.279207
1086494.921119,3793,3145.163206
